Node,Demand,Pattern,Category
140,0.007071,Domestic,
140,0.007452,Domestic,
140,0.008086,Domestic,
140,0.00853,Domestic,
141,3.20E-05,Domestic,
141,9.50E-05,Domestic,
141,0.000285,Domestic,
141,0.000317,Domestic,
141,0.000856,Domestic,
141,0.001015,Domestic,
141,0.001078,Domestic,
141,0.001332,Domestic,
141,0.001332,Domestic,
141,0.001522,Domestic,
141,0.001839,Domestic,
141,0.001839,Domestic,
141,0.002125,Domestic,
141,0.00222,Domestic,
141,0.002251,Domestic,
141,0.002378,Domestic,
141,0.00241,Domestic,
141,0.002473,Domestic,
141,0.002537,Domestic,
141,0.002537,Domestic,
141,0.002568,Domestic,
141,0.002568,Domestic,
141,0.002727,Domestic,
141,0.002727,Domestic,
141,0.002854,Domestic,
141,0.002949,Domestic,
141,0.002981,Domestic,
141,0.003139,Domestic,
141,0.00352,Domestic,
141,0.003551,Domestic,
141,0.003773,Domestic,
141,0.0039,Domestic,
141,0.004091,Domestic,
141,0.004091,Domestic,
141,0.004154,Domestic,
141,0.004186,Domestic,
141,0.004186,Domestic,
141,0.004217,Domestic,
141,0.004408,Domestic,
141,0.004883,Domestic,
141,0.00501,Domestic,
141,0.005105,Domestic,
141,0.005708,Domestic,
141,0.005739,Domestic,
141,0.00612,Domestic,
141,0.008213,Domestic,
141,0.01132,Domestic,
142,6.30E-05,Domestic,
142,0.001554,Domestic,
142,0.001681,Domestic,
142,0.002315,Domestic,
142,0.002822,Domestic,
142,0.002886,Domestic,
142,0.003361,Domestic,
142,0.003837,Domestic,
142,0.004154,Domestic,
142,0.005105,Domestic,
143,3.20E-05,Domestic,
143,6.30E-05,Domestic,
143,6.30E-05,Domestic,
143,0.001173,Domestic,
143,0.001205,Domestic,
143,0.001268,Domestic,
143,0.001332,Domestic,
143,0.001649,Domestic,
143,0.002125,Domestic,
143,0.00222,Domestic,
143,0.002347,Domestic,
143,0.002695,Domestic,
143,0.002727,Domestic,
143,0.003012,Domestic,
143,0.0039,Domestic,
143,0.005042,Domestic,
143,0.006247,Domestic,
143,0.006754,Domestic,
143,0.006849,Domestic,
144,6.30E-05,Domestic,
144,0.000127,Domestic,
144,0.00019,Domestic,
